tof(microsec),V,E
2535,0.8777,0.48009
2545,0.88831,0.50358
2555,0.87673,0.50098
2565,0.8927,0.483
2575,0.86282,0.46803
2585,0.86124,0.44591
2595,0.84538,0.44159
2605,0.85916,0.44025
2615,0.84306,0.43742
2625,0.82952,0.4373
2635,0.83172,0.43953
2645,0.83721,0.43127
2655,0.84367,0.43556
2665,0.82916,0.44019
2675,0.83196,0.40875
2685,0.80257,0.39686
2695,0.80757,0.39726
2705,0.80415,0.40172
2715,0.83501,0.41669
2725,0.83599,0.42187
2735,0.83562,0.40592
2745,0.80269,0.38646
2755,0.78525,0.37274
2765,0.80232,0.36879
2775,0.77098,0.36539
2785,0.75305,0.34887
2795,0.74609,0.33767
2805,0.76256,0.34147
2815,0.79244,0.37014
2825,0.78744,0.37091
2835,0.7578,0.35184
2845,0.79379,0.3527
2855,0.78952,0.3625
2865,0.77122,0.34747
2875,0.77183,0.34404
2885,0.79232,0.35041
2895,0.78122,0.34936
2905,0.76585,0.33769
2915,0.74878,0.33212
2925,0.74963,0.32912
2935,0.73853,0.31071
2945,0.75439,0.30014
2955,0.73487,0.29868
2965,0.73146,0.30208
2975,0.7217,0.29211
2985,0.71487,0.27767
2995,0.71304,0.27942
3005,0.73292,0.29071
3015,0.71072,0.27707
3025,0.70536,0.27976
3035,0.70853,0.27156
3045,0.69011,0.25864
3055,0.69462,0.26095
3065,0.72012,0.26578
3075,0.70023,0.26141
3085,0.68096,0.25815
3095,0.70121,0.25421
3105,0.68523,0.24275
3115,0.66474,0.22225
3125,0.67133,0.22803
3135,0.68548,0.23443
3145,0.69011,0.24752
3155,0.69633,0.243
3165,0.67791,0.24137
3175,0.69011,0.24132
3185,0.66023,0.23057
3195,0.6662,0.22331
3205,0.64303,0.21065
3215,0.65852,0.20945
3225,0.64596,0.20173
3235,0.63144,0.19413
3245,0.63278,0.19756
3255,0.63632,0.19733
3265,0.65071,0.20473
3275,0.65218,0.20053
3285,0.6473,0.19413
3295,0.63791,0.19439
3305,0.65474,0.21476
3315,0.65657,0.21902
3325,0.65657,0.20773
3335,0.6212,0.19681
3345,0.62681,0.18913
3355,0.63986,0.19244
3365,0.65181,0.20762
3375,0.65291,0.20956
3385,0.63644,0.20313
3395,0.63303,0.18673
3405,0.62425,0.17055
3415,0.60132,0.16097
3425,0.6068,0.1592
3435,0.59839,0.1642
3445,0.60717,0.16132
3455,0.60461,0.16169
3465,0.57412,0.14948
3475,0.57973,0.13894
3485,0.57607,0.13676
3495,0.58143,0.13862
3505,0.5757,0.13882
3515,0.57765,0.14477
3525,0.59034,0.14611
3535,0.56716,0.13994
3545,0.56948,0.13671
3555,0.57119,0.13422
3565,0.56985,0.13651
3575,0.58351,0.146
3585,0.57741,0.15288
3595,0.58082,0.14585
3605,0.57265,0.13496
3615,0.56521,0.12845
3625,0.5718,0.1227
3635,0.56826,0.12582
3645,0.56046,0.12739
3655,0.5807,0.13408
3665,0.56851,0.13522
3675,0.56692,0.12873
3685,0.56131,0.11616
3695,0.55119,0.1203
3705,0.5635,0.11621
3715,0.53801,0.11015
3725,0.54509,0.1127
3735,0.54094,0.11493
3745,0.56716,0.11664
3755,0.54509,0.11438
3765,0.55716,0.11321
3775,0.55972,0.11141
3785,0.5263,0.11859
3795,0.54204,0.12227
3805,0.55192,0.11896
3815,0.53618,0.1167
3825,0.53045,0.1129
3835,0.54411,0.10998
3845,0.53631,0.10695
3855,0.5535,0.11656
3865,0.54814,0.11527
3875,0.55106,0.11158
3885,0.5324,0.10861
3895,0.52338,0.10995
3905,0.53935,0.10089
3915,0.5224,0.09898
3925,0.51386,0.09481
3935,0.52179,0.09172
3945,0.5246,0.09423
3955,0.51935,0.09198
3965,0.51825,0.09726
3975,0.51764,0.09435
3985,0.51276,0.09449
3995,0.51557,0.09598
4005,0.52142,0.09666
4015,0.51618,0.09815
4025,0.51313,0.09418
4035,0.50898,0.08912
4045,0.50191,0.08755
4055,0.52155,0.08855
4065,0.51545,0.088
4075,0.52264,0.0872
4085,0.49642,0.08912
4095,0.49227,0.08969
4105,0.5013,0.09329
4115,0.50545,0.09026
4125,0.49764,0.08643
4135,0.49276,0.08472
4145,0.49593,0.08529
4155,0.49288,0.08823
4165,0.49825,0.08855
4175,0.48752,0.08926
4185,0.48361,0.08366
4195,0.47752,0.08563
4205,0.49593,0.08486
4215,0.48081,0.08886
4225,0.4852,0.08757
4235,0.48361,0.0848
4245,0.47483,0.08517
4255,0.47764,0.08243
4265,0.48398,0.08034
4275,0.47361,0.08263
4285,0.47678,0.07871
4295,0.47642,0.07686
4305,0.47032,0.07548
4315,0.46507,0.0786
4325,0.46288,0.07649
4335,0.45995,0.0778
4345,0.46593,0.07706
4355,0.46251,0.07523
4365,0.45776,0.07631
4375,0.46154,0.07294
4385,0.46812,0.0746
4395,0.46642,0.07411
4405,0.46654,0.07217
4415,0.46398,0.07674
4425,0.45227,0.07546
4435,0.45458,0.07531
4445,0.44141,0.07557
4455,0.4641,0.0726
4465,0.45995,0.07045
4475,0.45702,0.0706
4485,0.44593,0.07123
4495,0.44946,0.07154
4505,0.4508,0.0722
4515,0.44922,0.07114
4525,0.45385,0.06728
4535,0.43019,0.06948
4545,0.44495,0.06885
4555,0.44288,0.07077
4565,0.44275,0.06805
4575,0.43592,0.06765
4585,0.43897,0.0716
4595,0.40994,0.06908
4605,0.42324,0.06997
4615,0.41982,0.06905
