     0.20010     0.07108     0.00322
     0.20158     0.07163     0.00344
     0.20305     0.07264     0.00342
     0.20453     0.07389     0.00340
     0.20600     0.07062     0.00340
     0.20748     0.07134     0.00339
     0.20895     0.07311     0.00338
     0.21043     0.07060     0.00336
     0.21190     0.07269     0.00336
     0.21338     0.07079     0.00334
     0.21485     0.07020     0.00336
     0.21633     0.07121     0.00331
     0.21780     0.07069     0.00331
     0.21928     0.07130     0.00331
     0.22075     0.07156     0.00331
     0.22223     0.06909     0.00329
     0.22370     0.07023     0.00329
     0.22518     0.07097     0.00327
     0.22665     0.07134     0.00327
     0.22813     0.07259     0.00326
     0.22960     0.07304     0.00326
     0.23108     0.07312     0.00324
     0.23255     0.07182     0.00323
     0.23403     0.07075     0.00321
     0.23550     0.07074     0.00321
     0.23698     0.07108     0.00320
     0.23845     0.07089     0.00319
     0.23993     0.06980     0.00319
     0.24140     0.07127     0.00318
     0.24288     0.07375     0.00316
     0.24436     0.07269     0.00315
     0.24583     0.07265     0.00315
     0.24731     0.07307     0.00314
     0.24878     0.07212     0.00314
     0.25026     0.07172     0.00314
     0.25173     0.07295     0.00312
     0.25321     0.07049     0.00312
     0.25468     0.07088     0.00311
     0.25616     0.07474     0.00311
     0.25763     0.07483     0.00310
     0.25911     0.07191     0.00309
     0.26058     0.07280     0.00308
     0.26206     0.07276     0.00309
     0.26353     0.07297     0.00307
     0.26501     0.07271     0.00306
     0.26648     0.07159     0.00305
     0.26796     0.07176     0.00305
     0.26943     0.07254     0.00304
     0.27091     0.07261     0.00303
     0.27238     0.07187     0.00302
     0.27386     0.07151     0.00301
     0.27533     0.07259     0.00301
     0.27681     0.07237     0.00300
     0.27828     0.07343     0.00299
     0.27976     0.07366     0.00299
     0.28123     0.07379     0.00299
     0.28271     0.07350     0.00298
     0.28418     0.07195     0.00297
     0.28566     0.07145     0.00297
     0.28714     0.07178     0.00296
     0.28861     0.07358     0.00296
     0.29009     0.07348     0.00295
     0.29156     0.07326     0.00295
     0.29304     0.07349     0.00294
     0.29451     0.07544     0.00293
     0.29599     0.07507     0.00293
     0.29746     0.07398     0.00291
     0.29894     0.07454     0.00291
     0.30041     0.07453     0.00291
     0.30189     0.07408     0.00290
     0.30336     0.07353     0.00289
     0.30484     0.07385     0.00290
     0.30631     0.07441     0.00289
     0.30779     0.07583     0.00287
     0.30926     0.07575     0.00288
     0.31074     0.07556     0.00286
     0.31221     0.07425     0.00286
     0.31369     0.07363     0.00286
     0.31516     0.07363     0.00285
     0.31664     0.07381     0.00284
     0.31811     0.07406     0.00284
     0.31959     0.07401     0.00283
     0.32106     0.07397     0.00283
     0.32254     0.07305     0.00281
     0.32401     0.07323     0.00281
     0.32549     0.07439     0.00281
     0.32696     0.07503     0.00281
     0.32844     0.07512     0.00280
     0.32992     0.07545     0.00279
     0.33139     0.07638     0.00279
     0.33287     0.07563     0.00278
     0.33434     0.07403     0.00278
     0.33582     0.07269     0.00277
     0.33729     0.07659     0.00277
     0.33877     0.07759     0.00276
     0.34024     0.07756     0.00276
     0.34172     0.07536     0.00275
     0.34319     0.07486     0.00275
     0.34467     0.07543     0.00274
     0.34614     0.07650     0.00275
     0.34762     0.07568     0.00273
     0.34909     0.07567     0.00274
     0.35057     0.07735     0.00272
