    0.30050      0.042994
    0.30542      0.034585
    0.31035      0.041036
    0.31527      0.047848
    0.32020      0.041279
    0.32513      0.053661
    0.33005      0.049858
    0.33498      0.049917
    0.33990      0.043385
    0.34483      0.044156
    0.34976      0.032788
    0.35468      0.038404
    0.35961      0.041117
    0.36454      0.050884
    0.36946      0.046568
    0.37439      0.044462
    0.37931      0.042075
    0.38424      0.051218
    0.38917      0.045120
    0.39409      0.045186
    0.39902      0.040547
    0.40394      0.036881
    0.40887      0.044480
    0.41380      0.039292
    0.41872      0.039451
    0.42365      0.043750
    0.42858      0.045956
    0.43350      0.041914
    0.43843      0.047520
    0.44335      0.044143
    0.44828      0.042092
    0.45321      0.040843
    0.45813      0.041100
    0.46306      0.049458
    0.46798      0.043693
    0.47291      0.041426
    0.47784      0.050148
    0.48276      0.044773
    0.48769      0.047481
    0.49262      0.040602
    0.49754      0.045847
    0.50247      0.047654
    0.50739      0.045158
    0.51232      0.046535
    0.51725      0.042699
    0.52217      0.044358
    0.52710      0.040898
    0.53203      0.042738
    0.53695      0.040096
    0.54188      0.038865
    0.54680      0.042397
    0.55173      0.043067
    0.55666      0.039443
    0.56158      0.042172
    0.56651      0.043651
    0.57143      0.039374
    0.57636      0.037938
    0.58129      0.043176
    0.58621      0.040456
    0.59114      0.046147
    0.59607      0.041200
    0.60099      0.042600
    0.60592      0.038121
    0.61084      0.042592
    0.61577      0.039318
    0.62070      0.042810
    0.62562      0.044570
    0.63055      0.043090
    0.63547      0.041875
    0.64040      0.043432
    0.64533      0.042927
    0.65025      0.040503
    0.65518      0.045530
    0.66011      0.044885
    0.66503      0.044224
    0.66996      0.043069
    0.67488      0.044094
    0.67981      0.041025
    0.68474      0.041958
    0.68966      0.040023
    0.69459      0.043631
    0.69951      0.041094
    0.70444      0.041449
    0.70937      0.042218
    0.71429      0.044093
    0.71922      0.042178
    0.72415      0.041127
    0.72907      0.042377
    0.73400      0.041233
    0.73892      0.042759
    0.74385      0.043208
    0.74878      0.040136
    0.75370      0.041028
    0.75863      0.044504
    0.76355      0.044197
    0.76848      0.041448
    0.77341      0.044251
    0.77833      0.043622
    0.78326      0.040374
    0.78819      0.043328
    0.79311      0.040934
    0.79804      0.042516
    0.80296      0.040322
    0.80789      0.043405
    0.81282      0.045413
    0.81774      0.046248
    0.82267      0.042234
    0.82759      0.042012
    0.83252      0.042049
    0.83745      0.040552
    0.84237      0.044791
    0.84730      0.041199
    0.85223      0.042231
    0.85715      0.041950
    0.86208      0.041820
    0.86700      0.044134
    0.87193      0.041858
    0.87686      0.041343
    0.88178      0.041146
    0.88671      0.040507
    0.89163      0.044335
    0.89656      0.042464
    0.90149      0.040425
    0.90641      0.043513
    0.91134      0.043176
    0.91627      0.044476
    0.92119      0.041128
    0.92612      0.041760
    0.93104      0.042860
    0.93597      0.041764
    0.94090      0.040309
    0.94582      0.042320
    0.95075      0.042300
    0.95567      0.045179
    0.96060      0.041707
    0.96553      0.040083
    0.97045      0.043201
    0.97538      0.041737
    0.98031      0.041746
    0.98523      0.043785
    0.99016      0.044122
    0.99508      0.044556
    1.00001      0.043468
    1.00494      0.041840
    1.00986      0.041199
    1.01479      0.044141
    1.01971      0.044021
    1.02464      0.042548
    1.02957      0.039837
    1.03449      0.039381
    1.03942      0.042337
    1.04435      0.042347
    1.04927      0.042885
    1.05420      0.041994
    1.05912      0.040366
    1.06405      0.039292
    1.06898      0.043564
    1.07390      0.044249
    1.07883      0.043963
    1.08375      0.043964
    1.08868      0.041970
    1.09361      0.041835
    1.09853      0.044946
    1.10346      0.043101
    1.10839      0.042554
    1.11331      0.043068
    1.11824      0.043285
    1.12316      0.043138
    1.12809      0.042432
    1.13302      0.043863
    1.13794      0.041591
    1.14287      0.043182
    1.14779      0.041708
    1.15272      0.042011
    1.15765      0.044268
    1.16257      0.041006
    1.16750      0.043195
    1.17243      0.044129
    1.17735      0.042819
    1.18228      0.042346
    1.18720      0.044681
    1.19213      0.043738
    1.19706      0.043160
    1.20198      0.043711
    1.20691      0.044654
    1.21183      0.042454
    1.21676      0.043646
    1.22169      0.041251
    1.22661      0.043786
    1.23154      0.041867
    1.23647      0.043514
    1.24139      0.041739
    1.24632      0.044300
    1.25124      0.041041
    1.25617      0.043222
    1.26110      0.042659
    1.26602      0.045511
    1.27095      0.044912
    1.27587      0.042440
    1.28080      0.043472
    1.28573      0.044345
    1.29065      0.044204
    1.29558      0.043949
    1.30051      0.045464
    1.30543      0.040388
    1.31036      0.046165
    1.31528      0.043508
    1.32021      0.044803
    1.32514      0.045659
    1.33006      0.045182
    1.33499      0.042637
    1.33991      0.044535
    1.34484      0.041369
    1.34977      0.042675
    1.35469      0.044975
    1.35962      0.043700
    1.36455      0.042823
    1.36947      0.042008
    1.37440      0.042696
    1.37932      0.042549
    1.38425      0.044777
    1.38918      0.040536
    1.39410      0.043167
    1.39903      0.043590
    1.40395      0.044750
    1.40888      0.042131
    1.41381      0.043237
    1.41873      0.042565
    1.42366      0.042529
    1.42859      0.043384
    1.43351      0.042886
    1.43844      0.042602
    1.44336      0.043598
    1.44829      0.043308
    1.45322      0.042197
    1.45814      0.043465
    1.46307      0.042354
    1.46799      0.040944
    1.47292      0.041757
    1.47785      0.043158
    1.48277      0.040989
    1.48770      0.042124
    1.49263      0.045717
    1.49755      0.043530
    1.50248      0.041366
    1.50740      0.043733
    1.51233      0.045007
    1.51726      0.045240
    1.52218      0.045282
    1.52711      0.042767
    1.53203      0.044840
    1.53696      0.046009
    1.54189      0.043453
    1.54681      0.045160
    1.55174      0.044435
    1.55667      0.043522
    1.56159      0.043656
    1.56652      0.045304
    1.57144      0.043908
    1.57637      0.046095
    1.58130      0.045494
    1.58622      0.044943
    1.59115      0.044111
    1.59608      0.044892
    1.60100      0.045338
    1.60593      0.046889
    1.61085      0.044053
    1.61578      0.041149
    1.62071      0.041944
    1.62563      0.040452
    1.63056      0.042400
    1.63548      0.039478
    1.64041      0.044205
    1.64534      0.044243
    1.65026      0.044527
    1.65519      0.043249
    1.66012      0.041260
    1.66504      0.042280
    1.66997      0.043897
    1.67489      0.043895
    1.67982      0.042104
    1.68475      0.043763
    1.68967      0.042281
    1.69460      0.042917
    1.69952      0.043977
    1.70445      0.043935
    1.70938      0.044272
    1.71430      0.046082
    1.71923      0.044876
    1.72416      0.041618
    1.72908      0.046098
    1.73401      0.045264
    1.73893      0.044531
    1.74386      0.044159
    1.74879      0.046201
    1.75371      0.040534
    1.75864      0.041673
    1.76356      0.040137
    1.76849      0.045374
    1.77342      0.043283
    1.77834      0.042979
    1.78327      0.042396
    1.78820      0.042314
    1.79312      0.041157
    1.79805      0.041437
    1.80297      0.044854
    1.80790      0.045596
    1.81283      0.042876
    1.81775      0.044202
    1.82268      0.043153
    1.82760      0.041751
    1.83253      0.039580
    1.83746      0.043545
    1.84238      0.041942
    1.84731      0.043248
    1.85224      0.044243
    1.85716      0.044073
    1.86209      0.043041
    1.86701      0.042743
    1.87194      0.042273
    1.87687      0.044945
    1.88179      0.044001
    1.88672      0.043404
    1.89164      0.044406
    1.89657      0.043723
    1.90150      0.045137
    1.90642      0.044122
    1.91135      0.045479
    1.91628      0.046736
